fts_cohort,fts_sub_consolidated,free_trial_fts,non_uploader,fts_refund_chargeback,renewal_refund_chargeback,renewal_gross,fts_gross,fts_net,renewal_net,net_gross_retention,net_net_retention,gross_gross_retention,gross_net_retention,predicted_retention
2018-01-01,business,0,0,22,3.0,162.0,218,196.0,159.0,0.7293577981651376,0.8112244897959183,0.7431192660550459,0.826530612244898,0
2018-01-01,business,0,1,9,4.0,109.0,138,129.0,105.0,0.7608695652173914,0.813953488372093,0.7898550724637681,0.8449612403100775,0
2018-01-01,business,1,1,2,0.0,1.0,3,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0
2018-01-01,other,0,0,8,2.0,50.0,63,55.0,48.0,0.7619047619047619,0.8727272727272727,0.7936507936507936,0.9090909090909091,0
2018-01-01,other,0,1,6,3.0,20.0,28,22.0,17.0,0.6071428571428571,0.7727272727272727,0.7142857142857143,0.9090909090909091,0
2018-01-01,plus yearly,0,0,185,205.0,6608.0,8498,8313.0,6403.0,0.7534714050364791,0.7702393840971972,0.7775947281713345,0.7948995549139901,0
2018-01-01,plus yearly,0,1,269,77.0,2541.0,3377,3108.0,2464.0,0.7296416938110749,0.7927927927927928,0.752442996742671,0.8175675675675675,0
2018-01-01,plus yearly,1,1,5,2.0,19.0,41,36.0,17.0,0.4146341463414634,0.4722222222222222,0.4634146341463415,0.5277777777777778,0
2018-01-01,pro,0,0,88,42.0,1354.0,1773,1685.0,1312.0,0.7399887196841511,0.7786350148367952,0.763677382966723,0.8035608308605341,0
2018-01-01,pro,0,1,90,26.0,686.0,945,855.0,660.0,0.6984126984126984,0.7719298245614035,0.725925925925926,0.8023391812865497,0
2018-01-01,pro,1,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-01-01,pro,1,1,3,0.0,13.0,20,17.0,13.0,0.65,0.7647058823529411,0.65,0.7647058823529411,0
2018-02-01,business,0,0,26,10.0,195.0,248,222.0,185.0,0.7459677419354839,0.8333333333333334,0.7862903225806451,0.8783783783783784,0
2018-02-01,business,0,1,20,4.0,103.0,145,125.0,99.0,0.6827586206896552,0.792,0.7103448275862069,0.824,0
2018-02-01,business,1,1,1,0.0,2.0,3,2.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0
2018-02-01,other,0,0,6,2.0,40.0,50,44.0,38.0,0.76,0.8636363636363636,0.8,0.9090909090909091,0
2018-02-01,other,0,1,4,1.0,24.0,29,25.0,23.0,0.7931034482758621,0.92,0.8275862068965517,0.96,0
2018-02-01,plus yearly,0,0,164,192.0,6907.0,9069,8905.0,6715.0,0.7404344470173118,0.7540707467714767,0.7616054691807256,0.7756316676024705,0
2018-02-01,plus yearly,0,1,245,79.0,2482.0,3386,3141.0,2403.0,0.7096869462492617,0.7650429799426934,0.7330183106910809,0.7901942056669851,0
2018-02-01,plus yearly,1,0,0,0.0,2.0,2,2.0,2.0,1.0,1.0,1.0,1.0,0
2018-02-01,plus yearly,1,1,14,1.0,34.0,66,52.0,33.0,0.5,0.6346153846153846,0.5151515151515151,0.6538461538461539,0
2018-02-01,premium yearly,0,0,2,0.0,11.0,14,12.0,11.0,0.7857142857142857,0.9166666666666666,0.7857142857142857,0.9166666666666666,0
2018-02-01,premium yearly,0,1,0,0.0,4.0,7,7.0,4.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0
2018-02-01,pro,0,0,95,45.0,1322.0,1751,1656.0,1277.0,0.7292975442604226,0.7711352657004831,0.7549971444888635,0.7983091787439613,0
2018-02-01,pro,0,1,75,20.0,610.0,859,784.0,590.0,0.6868451688009313,0.7525510204081632,0.710128055878929,0.7780612244897959,0
2018-02-01,pro,1,1,0,0.0,10.0,11,11.0,10.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
2018-03-01,business,0,0,16,5.0,182.0,232,216.0,177.0,0.7629310344827587,0.8194444444444444,0.7844827586206896,0.8425925925925926,0
2018-03-01,business,0,1,23,5.0,115.0,159,136.0,110.0,0.6918238993710691,0.8088235294117647,0.7232704402515723,0.8455882352941176,0
2018-03-01,business,1,1,3,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-03-01,other,0,0,5,4.0,50.0,61,56.0,46.0,0.7540983606557377,0.8214285714285714,0.819672131147541,0.8928571428571429,0
